Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,CamelNodeDetailsUtils,1,0,3,2,44,7,0,0,0.0,2,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\util\CamelNodeDetailsUtils.java,32
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,KameletsCatalogManager,1,0,2,2,9,2,0,0,0.0,21,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\util\KameletsCatalogManager.java,21
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,ModelHelper,1,0,13,1,187,38,0,0,0.38461538461538464,14,9,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\util\ModelHelper.java,40
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,StringUtils,0,0,4,3,43,7,0,0,-1.0,10,0,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\catalog\util\StringUtils.java,21
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,ModelHelperApisTest,1,0,2,0,29,2,0,0,0.0,0,6,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\ModelHelperApisTest.java,31
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,ModelHelperTest,0,0,3,0,18,4,0,0,-1.0,0,2,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\ModelHelperTest.java,28
camel-language-server,com.github.cameltooling.lsp.internal.catalog.util,StringUtilsTest,0,0,5,0,21,5,0,0,-1.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\catalog\util\StringUtilsTest.java,26
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,AbstractQuickfix,1,0,6,1,49,11,2,0,0.0,0,4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\AbstractQuickfix.java,47
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,CodeActionProcessor,1,0,4,2,38,8,0,0,0.0,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\CodeActionProcessor.java,34
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,ConvertCamelKPropertyFileModelineRefactorAction,2,1,2,2,35,6,0,0,0.0,1,4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\ConvertCamelKPropertyFileModelineRefactorAction.java,43
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,InvalidEnumQuickfix,1,0,3,1,23,3,0,1,1.0,0,4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\InvalidEnumQuickfix.java,38
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,UnknownPropertyQuickfix,1,0,3,1,23,3,0,1,1.0,0,4,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\main\java\com\github\cameltooling\lsp\internal\codeactions\UnknownPropertyQuickfix.java,38
camel-language-server,com.github.cameltooling.lsp.internal.codeactions,AbstractQuickFixTest,3,0,5,0,40,5,2,0,0.4,0,1,C:\Dalhousie\ASD (5308)\Assignment 1\camel-language-server\src\test\java\com\github\cameltooling\lsp\internal\codeactions\AbstractQuickFixTest.java,47
